label#,Nstg,Comp 1,Comp 2,Comp 3,Comp 4,Comp 5,Comp 6,Comp 7,Comp 8
A.338,0,4.5511,-2.0145,-6.5262,-0.44229,-2.5218,-0.80787,0.25865,-1.123
A.283,0,1.7499,-3.217,-4.0926,-1.2871,0.85538,-0.015784,2.3843,-2.2345
A.276,0,-5.0283,-3.2054,0.42484,-3.0512,2.3659,0.84619,1.3222,0.31027
A.106,0,-2.5881,-4.3784,-1.6356,0.27916,-0.72136,0.93857,-5.2553,2.3482
A.132,0,-4.101,-3.3927,-0.54114,-1.6228,1.1735,-3.3222,3.4068,-1.5587
A.212,0,-1.5733,2.3696,-2.8999,0.40541,-0.39755,-3.4807,-2.1704,0.96123
A.66,0,-1.2268,-0.87169,3.4115,-1.1869,-0.92257,-2.6886,0.33107,1.0103
A.100,0,-6.0008,-3.2801,-1.7252,-0.66372,1.5334,0.83856,2.699,1.9393
A.50,0,2.7614,-3.023,-0.80062,-1.9219,0.95565,-2.5469,-0.86393,1.2552
A.91,0,-0.55814,3.7818,-0.61556,-4.4003,3.1227,2.7908,1.2451,-2.4328
A.108,0,5.0918,0.12183,-3.2047,-2.8194,-1.1263,-0.17226,0.26457,3.5082
A.320,0,-0.7479,-1.337,-1.3555,1.7022,-0.13863,-1.6229,2.6145,-1.7952
A.382,0,0.92489,-3.9068,-1.7841,3.9941,-2.324,-0.33398,1.4203,-2.4878
A.334,0,-2.0483,1.1504,-3.4746,0.98846,-3.4696,2.3686,-1.0665,0.061414
A.12,0,-2.1668,-1.0426,2.1349,-0.87006,0.88789,-0.7343,0.60213,1.8359
A.2,0,-2.6824,-2.1475,3.6918,-0.89314,3.1375,-1.4177,-1.8408,-0.62292
A.340,0,-0.65059,-2.469,-3.6034,5.4207,-1.4128,0.37539,0.42102,-2.2203
A.311,0,-1.5805,0.040196,-4.6335,3.6945,1.7284,-1.3777,0.9368,-0.36801
A.4,0,-4.1839,-2.3942,-3.9024,1.3854,4.2701,-1.0473,-2.1659,2.483
A.217,0,0.00033939,-6.5581,1.0093,0.027698,1.7141,3.1835,1.3975,-2.1976
A.304,0,6.4195,-1.0911,-2.3428,-5.8985,-3.3404,-2.3274,-3.199,1.7201
A.326,0,-0.54061,-0.78103,-0.13124,2.0847,-2.1039,-1.1776,2.7762,-4.0792
A.299,0,-2.89,2.8486,-4.1638,-5.4396,-1.2891,-0.38134,1.8001,-1.7148
A.234,0,-0.69768,4.3614,-0.74553,2.6774,0.86431,-2.5843,-2.395,0.89639
A.413,0,-0.89319,-0.90007,-0.53499,3.5269,-0.56474,-0.28026,4.8288,-1.7737
A.72,0,3.771,-1.6536,0.052196,-3.8863,-1.2291,-3.047,-0.36629,0.3869
A.243,0,-2.8422,-0.9599,1.4202,0.22572,1.8688,-0.58942,-1.2365,-1.524
A.214,0,-1.8945,0.053487,-3.0031,0.90803,-5.955,0.41432,-2.0368,0.40864
A.129,0,-2.0561,-0.45468,0.74025,1.3846,-0.52046,-1.6456,-8.4579,-2.859
A.306,0,4.1391,-0.6512,-2.6682,1.0458,-0.72937,-1.558,0.52561,-2.0259
A.117,0,-1.5237,-3.6834,-0.43565,1.0486,0.49146,2.5575,-4.0848,0.38494
A.206,0,-3.011,-0.42012,2.5408,-2.0492,-2.2235,-0.87792,2.4742,-0.027799
A.51,0,-0.40773,-5.8077,0.48278,-0.74008,0.0059038,0.82232,0.10594,-0.4246
A.265,0,-2.0339,1.5231,3.6564,1.0972,1.2937,-2.9186,-1.1543,-1.1644
A.112,0,-1.6238,1.579,-1.2354,-4.6999,2.584,0.97763,-1.1539,-3.1893
A.53,0,3.1501,-1.1531,-0.5171,0.15985,-0.15703,-3.2221,0.13881,0.49178
A.95,0,0.75158,-4.9894,0.83898,-0.44732,-1.3063,0.084889,0.67314,-0.69462
A.121,0,-3.0478,-3.5807,1.3506,-3.2517,-0.87545,-2.9631,1.1031,2.3997
A.417,0,0.16381,1.3066,0.043738,3.2719,-3.7826,-3.0228,2.5391,-2.6669
A.210,0,-3.4422,-1.8305,0.52926,-4.5597,-1.5906,-2.9009,0.40685,2.5151
A.383,0,-4.0849,-2.3812,3.8934,-1.4205,-0.19112,0.39654,2.2263,-0.023189
A.240,0,4.035,-2.4804,-3.1312,-2.8782,0.9906,1.0184,-0.0094021,2.288
A.103,0,-1.1579,2.4778,-2.6329,0.78168,1.4812,-2.518,-3.4439,-0.23583
A.312,0,0.86158,-1.4623,-5.289,3.9139,-4.0083,3.2356,3.4705,3.0658
A.336,0,-3.6157,-1.9866,0.8444,-1.4542,-2.6109,0.56627,2.1799,-1.4816
A.7,0,-2.5379,-2.5237,-0.96137,1.5662,-0.25481,2.2704,-2.235,1.6385
A.84,0,1.7574,-3.4315,2.7815,-1.3376,-2.2331,-0.51002,-2.0676,-0.4709
A.218,0,2.8172,-1.9503,0.10141,-1.1474,1.4747,-1.8655,-1.1201,0.19233
A.11,0,-2.5842,-1.8454,0.28751,-0.0055236,-0.7296,-2.4437,3.3277,2.5203
A.211,0,-1.7038,4.5043,-1.4579,-4.3895,1.1421,2.2037,2.5536,-1.5456
A.322,0,0.19681,0.45397,-3.3748,2.8758,-0.18809,-1.0829,2.4084,0.19137
A.345,0,1.2111,-0.42273,-5.5231,4.1604,-6.3303,0.10737,1.2607,-1.4812
A.286,0,0.29307,0.203,2.6291,-2.3477,-2.9079,-3.7152,-0.034177,1.6843
A.337,0,-3.6974,-0.95751,1.884,-1.6923,-2.21,2.393,5.4495,-0.66557
A.5,0,-2.3034,-0.28509,-3.4028,0.89043,-4.1529,1.294,-2.7185,0.72502
A.113,0,-1.1529,3.8666,-1.659,-5.5621,-0.74647,-0.63503,-1.1026,-3.1508
A.348,0,-4.155,0.40629,3.576,-0.72778,-1.679,0.2511,3.4151,-0.2616
A.258,0,-0.7892,3.4797,-1.9339,1.4,-5.1339,1.8696,-1.1183,1.303
A.259,0,2.9193,-2.6888,-0.5158,-2.8534,-0.26514,-2.5951,-0.57562,0.80548
A.388,0,-2.5147,1.3209,-2.754,1.2514,2.6974,-2.2315,-2.1814,0.86288
A.122,0,-2.9115,0.7631,2.952,-0.56724,0.38352,-1.5526,-1.1076,-0.24029
A.139,0,0.34987,-4.5635,1.8674,-2.8581,-1.9345,-0.4305,-1.5749,-2.2382
A.163,0,3.5147,-3.7412,-0.31777,-2.9288,0.29487,-1.6388,-0.70631,1.9202
A.191,0,-2.684,0.78454,-3.2903,-1.0903,0.79827,-2.6758,-4.0002,0.15998
A.239,0,-1.8333,1.041,2.677,-2.7646,-4.1057,-1.9067,1.4131,-0.96743
A.27,0,-2.1919,-0.1963,-2.498,-0.73943,-4.4666,1.3834,-3.8699,1.2535
A.119,0,-2.584,-1.5613,4.3603,-1.8603,-1.152,-0.42533,1.4636,-1.6376
A.137,0,-1.7126,-0.55366,-1.6272,-1.3195,-3.7626,3.7445,-1.4798,2.8576
A.128,0,-0.55685,-1.252,-0.24238,0.31434,-0.69174,1.2196,-5.8413,1.4276
A.364,0,-0.26245,0.19246,-0.46333,3.2519,2.1427,-0.44369,2.9932,-2.7629
A.390,0,3.9711,-1.8242,-2.4928,-1.2574,1.8453,0.45334,-1.1965,-0.9944
A.411,0,-0.88702,1.4251,-0.5328,2.2085,-1.8442,2.6003,-1.7985,0.40051
A.204,0,4.1974,-0.69131,-1.7616,-2.184,2.2053,-0.017535,1.1151,0.54985
A.41,0,4.2493,-1.5462,-2.6299,-2.3467,-0.37857,-0.3125,0.19505,2.0341
A.412,0,3.7111,-1.3155,-3.2791,-1.2452,-1.1878,-2.1292,0.16489,-2.8449
A.56,0,-1.9438,0.95871,3.4732,-0.053463,0.78475,-1.0965,2.5779,2.4608
A.94,0,3.2036,-2.7968,3.6769,-1.5358,-1.7848,-0.20211,-1.7847,-0.5573
A.90,0,-3.0112,2.1016,-2.0987,-4.0003,3.5105,3.1077,0.3144,-1.8539
A.124,0,0.082966,2.2365,-2.3235,-6.5567,-0.95605,0.015829,-1.8595,-3.6606
A.277,0,-0.43873,5.5024,-1.3365,-2.5543,0.89789,-0.39335,-0.43712,-4.1643
A.414,0,-2.2543,-5.1387,-2.5501,0.19775,0.42081,2.7865,-3.5559,0.65428
A.43,0,3.5651,-1.2311,0.4111,-2.2165,0.983,-0.34262,-0.23852,1.9815
A.46,0,-2.3995,-0.72682,3.0899,-0.71257,2.692,-0.2741,1.1477,2.2456
A.55,0,-0.49996,3.0927,0.015585,-0.62402,-3.2501,-2.294,0.97982,0.59931
A.125,0,-4.2126,-0.64728,-5.9763,-1.74,-0.093287,-3.5008,-2.3578,1.3737
A.269,0,3.4249,-1.2859,4.3672,-0.26912,-2.0472,0.56644,-1.9204,-2.5416
A.40,0,-3.67,-2.7061,-1.4145,4.1862,1.534,2.0614,-3.9215,-1.29
A.78,0,-3.0394,-0.19944,1.2433,-2.5904,-1.2657,-1.6843,0.88567,2.4044
A.104,0,-1.7216,0.89898,-1.8388,0.073146,-4.1178,2.3022,-1.1438,2.1909
A.271,0,-2.0446,-0.78045,3.3135,-2.242,-3.1844,0.31958,2.8961,-0.74234
A.273,0,1.5956,-6.0646,2.3159,-2.4606,-1.5665,-0.20395,-3.302,-3.139
A.394,0,4.7428,1.869,-0.28991,3.3422,0.65332,-2.2529,-0.46067,-3.6406
A.421,0,-2.2635,-2.2352,-6.4786,1.9235,-0.67659,-1.2226,4.8031,2.1377
A.63,0,-0.3563,-5.1282,1.4009,-0.5247,-0.097169,1.7732,1.9937,-0.32676
A.67,0,-3.66,-2.231,0.98087,-1.0344,0.30472,-2.56,0.72441,1.0922
A.88,0,-2.6545,-2.5617,0.56789,-1.3962,-0.57689,-0.85485,3.344,2.6219
A.96,0,-2.1046,-2.7507,-1.4552,0.44167,-1.4098,0.59015,-3.8277,1.9018
A.77,0,-1.5867,-2.3172,1.6204,-3.0943,-1.9537,-2.7791,0.14102,0.41652
A.81,0,-3.1802,-0.2294,-4.5402,-0.71455,0.27053,-4.6361,-2.7852,1.9293
A.89,0,-4.064,-0.89341,-1.2311,-0.28968,-1.2291,-1.8772,1.4189,0.42933
A.157,0,-3.8759,-2.3174,-3.1214,0.34324,3.3612,-1.8171,-2.3355,1.6511
A.228,0,-2.127,-4.3223,0.35257,2.385,2.8935,4.1637,-3.3315,-1.0126
A.346,0,2.1743,-3.7033,2.9343,-2.04,-0.99007,0.17994,-2.9378,-2.6507
A.213,0,-4.0124,-3.9638,-2.3089,1.4484,3.3913,7.9021,0.33825,0.55975
A.409,0,1.2029,1.4036,-3.8283,-1.8246,-2.0255,-0.096894,1.0342,-4.2617
A.408,0,-2.7115,-3.5786,-4.3037,0.72655,1.7646,0.61702,2.1735,-2.2743
A.221,0,-0.93534,-1.844,-1.2881,2.5842,1.2095,-0.49332,1.0304,-3.6331
A.147,0,-2.1458,0.4896,-1.8261,2.184,2.5919,-2.8884,-2.1111,0.44996
A.143,0,-0.39553,3.325,-0.51986,-1.9105,-4.5979,-3.7514,1.2217,0.92046
A.57,0,-3.5204,-1.4093,1.5235,-1.0126,-0.23897,-2.312,-1.4401,0.045518
A.190,0,-1.9302,1.9603,-0.41689,3.2706,3.9816,-0.95865,-1.783,1.4495
A.207,0,-0.099869,-4.1306,0.71205,0.028974,-0.19252,1.9724,1.4777,0.49773
A.268,0,-2.6412,0.070598,-3.7078,0.58182,-4.9886,2.4672,-0.34121,2.5214
A.175,0,2.9015,-2.729,0.88142,-3.5782,0.48557,-2.1656,-2.5432,-1.1251
A.159,0,-1.6898,1.3232,-0.26142,0.78208,-2.2897,3.1366,-2.9337,0.10243
A.15,0,-2.3734,0.40563,-2.3186,1.7054,1.7251,-2.7877,-2.3275,2.1851
A.300,0,-1.8015,-2.9312,-6.4086,1.7386,-2.2032,-4.1656,2.1874,0.0060579
A.305,0,-1.877,-3.2321,0.46229,3.3677,-0.87419,-2.2559,-0.48197,-6.4422
A.136,0,-2.764,-0.14505,-1.4551,1.5699,3.0455,-0.42857,-2.0718,1.3738
A.196,0,-2.7184,-4.0271,-1.7839,2.9129,0.48055,2.1915,-3.3555,0.14511
A.197,0,-3.7445,-2.4834,2.1977,-3.1621,-1.7682,-0.78317,1.9803,0.093531
A.315,0,2.4298,-0.15213,-2.6609,1.0312,0.47381,-1.032,1.9352,-1.6952
A.324,0,-2.7871,-2.2258,-0.65683,1.8061,-2.2495,-3.2584,0.054841,-4.9711
A.341,0,-2.528,-0.74113,-2.442,4.7157,0.605,-3.5258,4.6139,-5.5477
A.288,0,-2.015,2.9448,-2.2913,-5.398,2.0001,2.4006,0.04988,-1.8303
A.35,0,-2.2505,1.8598,3.6496,-1.193,0.51748,-3.6698,-2.5904,-0.49843
A.185,0,0.76515,1.4237,2.1806,0.93961,-1.9998,-0.51837,-5.7232,0.28173
A.241,0,2.7004,-2.4176,0.12014,-1.4085,0.64179,-2.7761,-0.83973,1.1957
A.395,0,-4.071,-1.7162,2.01,-1.3003,-2.6835,0.37728,3.6859,-1.0683
A.242,0,-0.77846,-0.43494,2.7186,-0.96044,-0.02792,-0.72052,0.53841,0.75586
A.68,0,-2.4809,3.7244,-1.8793,-4.2302,1.2791,0.93441,0.68845,-3.1153
A.260,0,4.2894,-2.6967,-3.7427,-2.358,-0.53466,0.20589,1.2059,3.8215
A.366,0,-0.5793,-0.76979,-5.2181,3.0173,-1.4533,-2.6677,1.3099,-0.88531
A.156,0,0.37753,4.8291,-1.8859,-6.1126,0.80848,1.2856,-2.6479,-2.1607
A.186,0,2.2504,-5.5949,0.85498,-1.8215,-1.6914,1.6192,-0.56227,0.33751
A.178,0,-1.576,1.9972,-2.5247,-5.5282,0.43471,2.0464,-0.23843,-2.7081
A.181,0,-1.9226,-0.10336,0.0075055,0.095705,-1.8973,3.8637,-1.4455,2.6681
A.168,0,-2.9543,1.4979,-1.9976,0.8577,2.2008,-2.0534,-3.6346,0.0065997
A.289,0,-0.94599,-1.0543,-5.5498,1.6208,-1.4585,-1.9344,2.351,0.50708
A.47,0,-1.1496,3.9404,-2.9753,-7.0873,-0.52708,0.8132,-3.1767,-3.7406
A.192,0,-2.0218,0.62077,-1.7848,-0.89428,-4.3948,3.0008,-1.5405,2.2561
A.220,0,-3.4103,-3.0481,2.8718,-0.17725,2.6033,-1.5917,0.91521,-1.1091
A.24,0,-2.9041,-1.0183,2.8311,-2.8385,0.40209,-3.641,-2.4221,-0.021855
A.28,0,3.0113,-2.6456,-0.02016,-2.0142,0.7171,-2.9011,-2.244,-1.5435
A.33,0,-2.0562,0.60776,2.1365,-0.01253,-0.41607,-2.7954,2.4684,1.1339
A.344,0,-2.4732,1.0604,-3.4585,0.67573,1.8037,-3.0919,-2.1411,0.88
A.250,0,-3.4466,-0.85112,3.3681,-1.7619,-1.2673,-1.1137,1.264,-1.4851
